Vehicle Model,Body Style,Engine Specs,Transmission Type,Fuel Type,Price (INR Lakhs),Mileage,Mileage Unit,Seating Capacity,Drivetrain,Safety Features
Ford Mondeo,Sedan,2.0L EcoBoost I4 (245 HP / 275 lb-ft torque),8-speed Automatic,Petrol,25,14,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Adaptive Cruise Control; Rear Cross-Traffic Alert; Rear View Camera
Ford Mustang,Sports Car,2.3L EcoBoost I4 (315 HP) or 5.0L Coyote V8 (480 HP),10-speed Automatic / 6-speed Manual,Petrol,80,7,km/l,4,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Lane Departure Warning; Post-Collision Braking; Adaptive Cruise Control
Ford Bronco,SUV,2.3L EcoBoost I4 (300 HP / 325 lb-ft torque) or 2.7L EcoBoost V6 (330 HP / 415 lb-ft torque),7-speed Manual / 10-speed Automatic,Petrol,50,10,km/l,5,4WD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Trail Control System; Rollover Mitigation; Rear View Camera
Ford Bronco New Energy,SUV,Dual Electric Motor (300 HP / 350 lb-ft torque) with Range Extender option,Single-Speed Automatic (EV),Electric,40,450,km/charge,5,AWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pedestrian Detection; 360-Degree Camera; Adaptive Cruise Control
Ford Bronco Sport,SUV,1.5L EcoBoost I3 (181 HP / 190 lb-ft torque) or 2.0L EcoBoost I4 (250 HP / 277 lb-ft torque),8-speed Automatic,Petrol,35,12,km/l,5,AWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear Cross-Traffic Alert; Adaptive Cruise Control; Rear View Camera
Ford Capri EV,SUV,Single Electric Motor Rear (286 HP / 402 lb-ft torque) or Dual Motor AWD (340 HP),Single-Speed Automatic (EV),Electric,45,500,km/charge,5,RWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pedestrian Detection; Traffic Sign Recognition; Driver Fatigue Alert
Ford Edge,SUV,2.0L EcoBoost I4 (238 HP / 258 lb-ft torque),8-speed Automatic,Petrol,38,11,km/l,5,AWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear Cross-Traffic Alert; Adaptive Cruise Control; Rear View Camera
Ford Equator,SUV,2.0L EcoBoost I4 (245 HP / 275 lb-ft torque),8-speed Automatic,Petrol,30,12,km/l,7,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear Cross-Traffic Alert; 360-Degree Camera; Adaptive Cruise Control
Ford Escape,SUV,1.5L EcoBoost I3 (180 HP) or 2.5L Atkinson-Cycle I4 Hybrid (200 HP) or 2.5L PHEV (225 HP),8-speed Automatic / eCVT,Hybrid,28,18,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Pedestrian Detection; Adaptive Cruise Control; Rear View Camera
Ford Kuga,SUV,1.5L EcoBoost I3 (150 HP) or 2.5L Atkinson-Cycle I4 PHEV (225 HP),6-speed Manual / eCVT,Hybrid,28,18,km/l,5,FWD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Rear Cross-Traffic Alert; Active Park Assist; Rear View Camera
Ford Everest,SUV,2.0L Bi-Turbo I4 Diesel (210 HP / 370 lb-ft torque) or 3.0L V6 Diesel (250 HP / 600 lb-ft torque),10-speed Automatic,Diesel,45,11,km/l,7,4WD,Automatic Emergency Braking (AEB); Blind Spot Monitoring; Lane-Keeping Assist; Trailer Stability Control; Adaptive Cruise Control; Rear View Camera
